id,from,to,name,highway,length_m,osm_id
E00000,318880697,9994629571,Jalan Dokter Sitanala,primary,12.4,27946607
E00001,9994629571,318880697,Jalan Dokter Sitanala,primary,12.4,27946607
E00002,9994629571,5442079768,Jalan Dokter Sitanala,primary,53.5,27946607
E00003,5442079768,9994629571,Jalan Dokter Sitanala,primary,53.5,27946607
E00004,5442079768,1838671924,Jalan Dokter Sitanala,primary,25.2,27946607
E00005,1838671924,5442079768,Jalan Dokter Sitanala,primary,25.2,27946607
E00006,1838671924,2624787469,Jalan Dokter Sitanala,primary,34.3,27946607
E00007,2624787469,1838671924,Jalan Dokter Sitanala,primary,34.3,27946607
E00008,2624787469,5442181088,Jalan Dokter Sitanala,primary,38.1,27946607
E00009,5442181088,2624787469,Jalan Dokter Sitanala,primary,38.1,27946607
E00010,5442181088,10241676800,Jalan Dokter Sitanala,primary,31.7,27946607
E00011,10241676800,5442181088,Jalan Dokter Sitanala,primary,31.7,27946607
E00012,10241676800,7237941544,Jalan Dokter Sitanala,primary,7.4,27946607
E00013,7237941544,10241676800,Jalan Dokter Sitanala,primary,7.4,27946607
E00014,7237941544,5442081250,Jalan Dokter Sitanala,primary,73.1,27946607
E00015,5442081250,7237941544,Jalan Dokter Sitanala,primary,73.1,27946607
E00016,5442081250,5442081426,Jalan Dokter Sitanala,primary,44.2,27946607
E00017,5442081426,5442081250,Jalan Dokter Sitanala,primary,44.2,27946607
E00018,5442081426,5621061928,Jalan Dokter Sitanala,primary,5.3,27946607
E00019,5621061928,5442081426,Jalan Dokter Sitanala,primary,5.3,27946607
E00020,5621061928,5621061925,Jalan Dokter Sitanala,primary,42.1,27946607
E00021,5621061925,5621061928,Jalan Dokter Sitanala,primary,42.1,27946607
E00022,5621061925,7237941545,Jalan Dokter Sitanala,primary,45.8,27946607
E00023,7237941545,5621061925,Jalan Dokter Sitanala,primary,45.8,27946607
E00024,7237941545,1838671920,Jalan Dokter Sitanala,primary,27.6,27946607
E00025,1838671920,7237941545,Jalan Dokter Sitanala,primary,27.6,27946607
E00026,1838671920,5442080943,Jalan Dokter Sitanala,primary,11.6,27946607
E00027,5442080943,1838671920,Jalan Dokter Sitanala,primary,11.6,27946607
E00028,5442080943,5441824555,Jalan Dokter Sitanala,primary,5.1,27946607
E00029,5441824555,5442080943,Jalan Dokter Sitanala,primary,5.1,27946607
E00030,318880241,8487280275,Benteng Makassar,living_street,109.3,28997114
E00031,8487280275,318880241,Benteng Makassar,living_street,109.3,28997114
E00032,8487280275,5444237416,Benteng Makassar,living_street,11.6,28997114
E00033,5444237416,8487280275,Benteng Makassar,living_street,11.6,28997114
E00034,5444237416,7795436744,Benteng Makassar,living_street,101.4,28997114
E00035,7795436744,5444237416,Benteng Makassar,living_street,101.4,28997114
E00036,7795436744,318880271,Benteng Makassar,living_street,68.8,28997114
E00037,318880271,7795436744,Benteng Makassar,living_street,68.8,28997114
E00038,318880271,5444238630,Benteng Makassar,living_street,39.5,28997114
E00039,5444238630,318880271,Benteng Makassar,living_street,39.5,28997114
E00040,5444238630,8509073746,Benteng Makassar,living_street,52.3,28997114
E00041,8509073746,5444238630,Benteng Makassar,living_street,52.3,28997114
E00042,8509073746,5444238627,Benteng Makassar,living_street,58.0,28997114
E00043,5444238627,8509073746,Benteng Makassar,living_street,58.0,28997114
E00044,5444238627,318880268,Benteng Makassar,living_street,38.6,28997114
E00045,318880268,5444238627,Benteng Makassar,living_street,38.6,28997114
E00046,318880271,318880278,Jalan Benteng Makasar VIII,residential,36.3,28997115
E00047,318880278,318880271,Jalan Benteng Makasar VIII,residential,36.3,28997115
E00048,318880278,5444237405,Jalan Benteng Makasar VIII,residential,23.5,28997115
E00049,5444237405,318880278,Jalan Benteng Makasar VIII,residential,23.5,28997115
E00050,5444237405,7232269700,Jalan Benteng Makasar VIII,residential,26.4,28997115
E00051,7232269700,5444237405,Jalan Benteng Makasar VIII,residential,26.4,28997115
E00052,7232269700,318880283,Benteng Makassar 4,residential,149.6,28997116
E00053,318880283,7232269700,Benteng Makassar 4,residential,149.6,28997116
E00054,318880278,318880288,Benteng Makassar 3,residential,155.3,28997117
E00055,318880288,318880278,Benteng Makassar 3,residential,155.3,28997117
E00056,5455560891,318880293,Benteng Makassar 2,residential,84.6,28997118
E00057,318880293,5455560891,Benteng Makassar 2,residential,84.6,28997118
